Word,Val,AbsVal,Sent,AbsSent,DominantModality
purring,5.850555556,1.124401365,0.185722222,0.515612856,Sound
putrid,5.175081967,1.324022584,-0.031576271,0.739303754,Smell
quiet,5.609460133,1.152530329,0.136330465,0.669146768,Sound
radiant,6.145970874,1.30921152,0.417542289,0.625538354,Sight
rancid,5.129649123,1.254790728,0.064018519,0.766541108,Smell
raspy,5.282380952,1.064505347,0.12175,0.502524155,Sound
raucous,5.646625,1.163470796,0.173163522,0.656211201,Sound
rectangular,5.426,0.709204217,0.173286996,0.473801093,Sight
red,5.414637416,0.88615028,0.235629563,0.642456415,Sight
reddish,5.48795082,0.877193882,0.230172131,0.554633979,Sight
reeking,4.63047619,1.290073371,-0.255,0.776364289,Smell
resounding,5.319145299,1.107080676,-0.053423423,0.512518986,Sound
reverberating,5.211578947,0.996639635,0.190944444,0.6600573,Sound
rhythmic,5.621275168,0.972054313,0.105539474,0.598217415,Sound
ripe,5.779674797,1.190499841,0.360181818,0.80877701,Taste
rippled,5.636756757,0.706797856,0.303235294,0.480770248,Sight
rippling,5.553186813,0.999720682,0.272690476,0.599385813,Sight
roasted,5.898198198,1.000643968,0.59590678,0.769676145,Taste
roasting,5.4925,0.788801418,0.350222222,0.521932324,Sight
rotten,5.583674912,1.151858843,0.0804947,0.662255249,Sight
rotund,5.673243243,0.906402929,0.053848485,0.439544979,Sight
rough,5.512853224,0.901873678,0.125721992,0.546612152,Touch
round,5.523026052,0.835260955,0.227340771,0.509112878,Sight
rubbery,5.532705882,0.883447663,0.201414634,0.500146724,Touch
rumbling,5.144545455,1.049678111,0.257403509,0.475266188,Sound
rustling,5.909444444,1.336196151,0.742411765,0.683719738,Sound
rusty,5.322663934,0.722808801,0.19217094,0.507610193,Sight
salty,5.693988764,1.125207068,0.366546961,0.661932775,Taste
savory,5.915,1.112931422,0.554269231,0.767600039,Taste
scaly,5.411454545,0.89876902,0.064358491,0.636096414,Touch
scented,5.828333333,1.142618569,0.429034483,0.719776793,Smell
scentless,5.755,0.691153072,0.2435,0.7045,Smell
scratchy,5.722638889,0.909796493,0.266861111,0.579059918,Touch
scrawny,5.616933333,1.007302182,0.0185,0.428858169,Sight
screaming,5.282484472,1.21198739,0.054046358,0.50125176,Sound
screeching,5.503548387,1.158163597,0.082896552,0.375656797,Sound
searing,5.215639535,1.17758033,0.057058824,0.678516539,Sight
